Character,Line
Cartman,I love you man!
Kyle,"No, I- I beat you!"
Cartman,"You totally saved my ass, Kyle."
Cartman,You must... really care about me.
Cartman,See you Kyle!
Cartman,I gotta get to a psychiatrist and learn to control what I say!
Cartman,I got a golden ticket!
Cartman,Thanks to Kyle!
Cartman,I got a golden twinkle in my eye!
Stan,No way!
Stan,"No, never."
Stan,"That uh, a little bigger than your brother's there, Gerald?"
Stan,"Dad, um, I think dinner's almost ready."
Stan,"Gee, thanks a lot, Dad."
Stan,"You don't understand, Mom."
Stan,You just don't understand.
Stan,"Hi, could I speak with Mr. Bono, please?"
Stan,"Hi, my name is Stan Marsh."
Stan,My dad's trying to beat your record for biggest crap.
Stan,That's kind of what I'm here for: Do you really need the biggest crap record?
Stan,Could you maybe see your way to just... letting my dad have this one?
Stan,"Look, you you gotta understand, sir."
Stan,My dad's never won an award for anything.
Stan,Ever.
Stan,He doesn't have one single trophy.
Stan,"I mean, even I have a second-place trophy for most Sports Illustrated subscriptions sold."
Stan,"Dude, don't you have enough?"
Stan,"I mean, you got tons of money, a jet, and the biggest rock band in the world, a hot wife, and, you've been knighted."
Stan,"I mean, at some point, can't you just kind of... fuck off?"
Stan,"All I'm asking is that maybe with this one thing, let my dad be number 1."
Stan,A-and you can still be number 2.
Stan,Agh!
Stan,I take it back!
Stan,You're not number two!
Stan,What is wrong with that guy?
Stan,What are you saying?!
Stan,How do you know my dad is gonna die?
Stan,So Bono's newest record is a lie!
Stan,So?
Stan,He's the record.
Stan,Wait!
Stan,Stop!
Stan,"Dad, your old crap counts."
Stan,Bono never took a second crap to beat yours.
Stan,Somebody's been keeping it a secret.
Stan,Bono was never the record holder!
Stan,He's the record!
Stan,Dude.
Stan,"That's why he's able to do so much, try to help so many people, but still seem like such a piece of shit."
Stan,"Dad, are you all right?"
Cartman,"All right, let's try over here."
Cartman,"Set up traps there, and there as well."
Cartman,Last time I saw him he ran right through here.
Kyle,"This is so retarded, Cartman."
Kyle,You've got everyone believing your stupid story.
Cartman,"It isn't a story, it's true!"
Cartman,I saw a leprechaun.
Cartman,I've seen him come through here three days in a row now.
Cartman,"Hawk Eyes, this is Dragon Wind."
Cartman,Do you copy?
Cartman,"Copy that, Hawk Eyes."
Cartman,Keep surveillance tag Alpha Niner.
Cartman,Dragon Wind out.
Kyle,"Just admit you were lying, Cartman, so that everyone can go home!"
Cartman,O-ho no!
Cartman,"We have a deal, Kyle!"
Cartman,"If I can prove there's a leprechaun, you have to suck my balls, remember?!"
Cartman,"Dragon Wind to Blackie: What's your six, Blackie?"
Cartman,"Code names are what they are, Blackie!"
Cartman,Check your six and alert when in position!
Kyle,This is fucking retarded!
Cartman,"Hahaha, getting nervous, Kyle?"
Cartman,When that leprechauns shows up you must suck my balls!
Cartman,Don't forget I have a signed contract from you.
Kyle,"Yeah, and if you couldn't prove there was a leprechaun, you have to give me ten dollars!"
Kyle,Now just pay up and stop being stupid!
Cartman,"Goddammit, why hasn't it shown up yet?"
Cartman,Dragon Wind to Faggot!
Cartman,"Come in, Faggot!"
Cartman,Faggot I need you to keep surveillance North to North East.
Cartman,Check back in five.
Kyle,"Okay, that's enough."
Kyle,Everybody!
Kyle,"Cartman is just pulling one of his stupid tricks on everyone, because he's trying to get out of a deal he made!"
Cartman,"It was here, I swear it!"
Cartman,I don't know why it's not showin' up this time!
Kyle,"You didn't see a leprechaun, fatass!"
Kyle,"If you could prove it, I had to suck your balls, but if you couldn't, you had to pay me ten dollars!"
Kyle,Pay up!
Cartman,Set off diversion track C!
Stan,Dude...
Cartman,Get it!
Cartman,Get that fucking leprechaun!
Cartman,I want it alive!
Stan,Cool.
Cartman,Eugh!
Cartman,"Uh, move aside!"
Cartman,Move aside!
Cartman,"All right, butthole, where's the gold?"
Cartman,Tell me where the gold is or you die!
Cartman,Slow!
Stan,Where'd he go?
Cartman,"Kyle, suck my balls."
Kyle,"Dad, where do leprechauns come from?"
Kyle,So... why would one come to America to warn us about a terrorist attack.
Kyle,I thought I did.
Cartman,"Ohhh, Ms. Broflovski, how are you this fine evening?"
Cartman,"Hello, Mr. Broflovski, Ike."
Cartman,"Nice evening, isn't it?"
Cartman,"Well Kyle, shall we go up to your room for a few minutes."
Kyle,"Get out of here, Cartman, we're eating dinner!"
Cartman,"Uhh, Kyle, I believe a certain someone is supposed to put a certain set of balls in their mouth."
Kyle,"I'm not doing it, fatass!"
Cartman,"We had a deal, Kyle!"
Kyle,Just get out of here!
Cartman,"You signed an agreement, Kyle!"
Kyle,I don't care if I signed an agreement!
Cartman,"Thank you, Mr. Broflovski."
Kyle,"That if he could prove leprechauns exist, I would suck his balls."
Cartman,And there was a leprechaun!
Cartman,"You saw it, Kyle!"
Kyle,Hey dudes.
Kyle,How was what?
Kyle,"I didn't suck his balls, all right?!"
Kyle,And I'm not going to!
Stan,"Dude, why did you ever agree to suck his balls in the first place."
Kyle,"Uch, I didn't think there would actually be a leprechaun!"
Kyle,And I still don't!
Kyle,Why would a leprechaun be warning us of a terrorist attack?!
Kyle,There's another explanation for all this.
Stan,...What do you know about the leprechaun?
Kyle,All right I've had enough!
Kyle,Leprechauns are imaginary!
Stan,Who the hell are you?
Kyle,Dude.
Stan,"Come on, guys."
Kyle,Are you gonna take us somewhere or not?
Stan,What is this place?
Stan,Well he said there was gonna be a- ...that there was... gonna be a-
Kyle,"STAN, WE HAVE TO GET OUT OF HERE!"
Stan,Butters.
Kyle,Dude!
Kyle,A-ah!
Kyle,A-a-ah!
Kyle,Wha?
Kyle,Where...?
Kyle,Oh.
Kyle,Oh dude.
Kyle,"Oh, it was just a dream."
Kyle,It was all just a crazy dream.
Kyle,"Huh, oh my God."
Stan,Hello?
Kyle,"Dude, did you finish your math homework?"
Kyle,I kind of lost track of time last night.
Stan,No no I I hardly got any sleep.
Stan,I had this whole messed up dream about some gay Mayor guy taking us to Imaginationland where all these imaginary characters live?
Kyle,...And then it got attacked by terrorists?
Stan,Yeah!
Stan,How'd you know?
Kyle,Dude!
Kyle,I had the same dream!
Kyle,"We jumped on a dragon's back and, and Butters got left behind!"
Stan,Why?
Kyle,What did they say?
Kyle,...Dude...
Cartman,I believe a serious blow to democracy has just been dealt.
Cartman,"A travesty has occurred, and I want justice!"
Cartman,"Kyle Broflovski did willingly and knowingly sign a contract, and yet, to date, he has made no effort, nor does he show any intention, of ever sucking my balls!"
Cartman,"I've given him ample time to fulfill his obligation, and he has thus refused."
Cartman,"I stand before you with dry balls, Your Honor."
Cartman,"I've provided witnesses, collected testimonials, and still, my balls remain dry."
Cartman,I want what I'm entitled to!
Kyle,I...
Kyle,Uh... W-uh... but... Come o- come on!
Kyle,Really?
Kyle,"I mean, aren't there more important things going on right now?"
Cartman,Yesss!
Cartman,Thank you Your Honor.
Cartman,"This isn't a victory for me, this is a victory for the justice system."
Cartman,And my balls.
Cartman,"Thanks for coming, everyone."
Cartman,"The big moment is almost here, as soon as Kyle arrives."
Cartman,He has to.
Cartman,He's been ordered by the court.
Cartman,What?
Cartman,"Move aside, move aside!"
Stan,"Dude, do you really have to do it?"
Kyle,Let's just get this over with!
Cartman,"Yes, come on in, peasant Kyle, and pay homage to this sultan's balls."
Kyle,God damnit!
Cartman,Yehehehesss.
Cartman,Yehhhs!
Kyle,Who are you?
Cartman,"Hey, let go of him!"
Cartman,No!
Cartman,"No, he has to suck my balls!"
Cartman,NO!
Cartman,KYYYYLE!
Cartman,"Yeah well, when a man has been wronged... he no longer cares about danger."
Cartman,I've got unfinished business.
Cartman,"You go through life being told there's justice, then you learn that the only real justice...  is the justice you take."
Cartman,"Make no mistake, Kyle."
Cartman,"Before this is over, you will suck my balls."
Cartman,Previously on Battlestar Galactica
Stan,What is this place?
Kyle,WE HAVE TO GET OUT OF HERE!
Stan,"Look, we already told you everything we know."
Stan,Some guy just showed up in a big balloon and took us into Imaginationland.
Kyle,We just... went on a balloon ride.
Stan,"Dude, we don't remember."
Kyle,...What?
Stan,No.
Stan,Your what?
Kyle,Wait.
Kyle,The U.S. Government has a portal to the imagination?
Stan,"If you already built a doorway to the imagination, then why do you need us?"
Cartman,"Every night, the dream is the same."
Cartman,"I'm on my way to visit my friend Kyle, because we had a bet that if I could prove leprechauns were real, he would suck my balls."
Cartman,And it turns out I was right.
Cartman,"""Time to pay up, Kyle."""
Cartman,"But then...  ""NO!"
Cartman,"NOOO!"""
Cartman,It's been taken from me.
Cartman,I have dry balls.
Cartman,Balls so dry they explode like dust.
Cartman,NO.
Cartman,I've got dry balls.
Cartman,And I'm running out of time.
Stan,That's not very imaginative.
Kyle,Ah I guess.
Kyle,"Look, we're sorry, you guys, but the balloon just went up in the air and the dude sang a song and we were suddenly there."
Stan,The Imagination song?
Kyle,"No, no dude, it went up there."
Stan,Imagina-he-hey-
Kyle,Imagina-eh
Stan,"Dude, we don't remember."
Stan,It was really long and stupid.
Cartman,"Look, I want some Goddamn answers!"
Cartman,You brought my friend here to Washington!
Cartman,Where is he?!
Cartman,What is going on?
Cartman,"Something is going on, and I have a right to know where my friend is!"
Stan,"Waitwaitwait, maybe that's where he went really flat, like that half-step key change?"
Stan,Imagina-ation.
Kyle,"Right, then it was ""Imagina-ation, Imagina-ation."
Kyle,"Imagina-atio-on"""
Kyle,Cartman?
Cartman,Hello Kyle!
Cartman,"Thought you could get out of your responsibilities, huh?"
Cartman,"That kid you have made a bit that if I could prove that I saw a leprechaun, he would suck my balls!"
Cartman,No!
Cartman,Hold on a second!
Cartman,I have a contract  validated by the United States court system!
Kyle,I DIDN'T THINK THERE WAS GOING TO BE A GOD-DAMNED LEPRECHAUN!
Kyle,Wha?!
Kyle,"Well wait, ahah I wanna see what happens here!"
Kyle,Stan?
Stan,"Dude, you did make a deal..."
Cartman,Theee conference room is which way?
Cartman,"Here we are, Kyle."
Cartman,"You tried to bail out on our agreement, but I found you."
Kyle,"I didn't ""bail,"" I got picked up by the government!"
Cartman,"Well we're here now, that's all that matters."
Cartman,Care for some nuts?
Cartman,"Oh, that's right."
Cartman,I guess you'll be chock full of nuts in a few minutes.
Kyle,"Cartman, do you even know what's going on?"
Kyle,"We went to Imaginationland, terrorists attacked it, and now the government is about to-"
Cartman,"Oh jeez, I'm sorry, Kyle."
Cartman,It's just that I'm so completely bored by this story.
Cartman,"See, I'm really only interested in the part where the leprechaun was real, and so you have to suck my balls."
Kyle,"Okay, fine."
Kyle,You know what?
Kyle,Let's just get it over with!
Cartman,"Oh nonono, nononot so fast, Kyle."
Cartman,"I've waited a long time for this, and I intend to savor each and every second."
Kyle,"No, I'm serious!"
Kyle,"I wanna see what's happening downstairs, so let's just do it!"
Cartman,"Not... just yet, Kyle."
Cartman,There's still a few things I need to do.
Cartman,"By the way, I should tell you that I haven't had a chance to shower while making my way up here."
Cartman,My balls are...  extra vinegary...
Kyle,Just get to it already!
Stan,"Wait, woodland critters..."
Stan,Get them out of there!
Stan,Tell them to get away now!
Cartman,I was thinking of using a high-speed shutter with a low depth of field.
Cartman,What do you think?
Kyle,"Goddammit Cartman, will you stop wasting time?"
Kyle,I wanna get this over with!
Cartman,"No, you're right, Kyle."
Cartman,A higher depth of field will make sure everything stays in focus.
Cartman,There we go.
Cartman,"Now, Kyle, when you're sucking my balls, are you gonna think about how right I was about the leprechaun, or are you just gonna try and focus on how rough and salty my balls feel in your mouth?"
Kyle,Let's just DO IT!
Cartman,"In time, Kyle."
Cartman,"You certainly are eager for balls, aren't you?"
Cartman,Are you ball-famished?
Cartman,Balls-starving?
Cartman,"You see, Kyle, I wonder if at this moment you are actually-"
Cartman,"Uh, no, no, we're not done in here yet."
Cartman,No!
Cartman,Goddammit no!
Kyle,AAAHHH!
Stan,KYLE!
Kyle,AAAAAAAAAAAA-
Cartman,No!
Cartman,Kyle can't die.
Cartman,Kyle?
Cartman,NNNOOO!
Cartman,"No, he has a strong heart!"
Cartman,He wants to live!
Cartman,"Come on, Kyle!"
Cartman,"Come on, buddy!"
Cartman,Zap him again!
Cartman,Do it!
Cartman,DO IT!
Cartman,Come on buddy.
Cartman,Come on buddy.
Cartman,Get out of here!
Cartman,"Godammit Kyle, you never walked away from anything in your life!"
Cartman,Now fight!
Cartman,Fight!
Cartman,Fight!
Cartman,Right now!
Cartman,Fu-hight!
Cartman,Fu-hu-hight!
Cartman,Fight!
Cartman,Give him some air.
Cartman,"There, easy."
Cartman,Breathe easy.
Cartman,"Wake up, Kyle."
Stan,Hello?
Stan,Hello?
Stan,Anybody?
Kyle,Stan?
Stan,Hello?
Kyle,Stan?
Cartman,"Good morning, Kyle."
Cartman,How are we feeling?
Kyle,"Cartman, what's happened?"
Cartman,What's happened?
Cartman,"Well, let's see: You bet me that I couldn't prove that leprechauns were real."
Cartman,"And if I could prove it, you had to suck my balls, I believe."
Kyle,"No, I mean what happened at the Pentagon?"
Cartman,"You just rest, Kyle."
Cartman,Look what I made for you.
Cartman,A sundae.
Cartman,It has hot fudge and whipped cream and a cherry-  but...
Cartman,"I feel like something is missing; don't you, Kyle?"
Cartman,"What else belongs on a sundae besides hot fudge and whipped cream,  let's see"
Kyle,Arh!
Cartman,"Hot fudge, whipped cream, what else belongs on a sundae, Kyle?"
Cartman,"What else goes on a sundae besides hot fudge,whipped cream, and ...oh, that's right!"
Cartman,My balls!
Kyle,"Cartman, what is going on out there?!"
Kyle,What happened to Stan?
Cartman,"Oh, he got sucked through that portal thing and they're gonna nuke it now."
Cartman,"So are you all set for your big photo shoot, Kyle?"
Kyle,"Wwait, what do you mean?"
Kyle,Stan's in danger?
Cartman,"Don't try to change the subject, Kyle."
Cartman,"You've done a really good job of getting out of this bet, but it's finally time to settle."
Cartman,"Get ready for your sundae, Kyle."
Cartman,With extra nuts.
Cartman,"Kevin, can I get some more bounce off that too, 'kay?"
Cartman,Let's just go with a 5 6 8 split
Kyle,"Carman, will you shut up?"
Kyle,I'm trying to find out what's going on.
Kyle,Oh for the love of God!
Stan,Hello?
Stan,Can anybody hear me?
Kyle,Stan!
Kyle,"Dude, is that you?"
Stan,Kyle?
Stan,Where are you?
Stan,"I, I don't see you."
Kyle,"No, I'm not there."
Kyle,I'm at a hospital.
Kyle,I I'm hearing you in my imagination.
Stan,...Oh that makes sense.
Kyle,"Dude, what's happening?"
Stan,I'm in like a gumdrop forest.
Stan,I just saw Strawberry Shortcake tied up and dead with pee in her eye.
Stan,Ha-hang on.
Stan,I think something really big is about to go down.
Cartman,How does that look?
Cartman,Can you see my balls and the sundae in frame?
Kyle,Oh no.
Cartman,...What?
Stan,Kyle?
Stan,What's happening?
Kyle,The government is gonna nuke Imaginationland.
Stan,What?!
Stan,You can't let them do that!
Kyle,What am I supposed to do?
Stan,Dude you have to stall them!
Stan,"Uh- ...uh oh, what is that?"
Stan,Hey!
Stan,G-get out of here!
Stan,Leave me alone!
Kyle,Stan?
Kyle,Stan?
Cartman,Where are you going?
Kyle,I'm going to try to save Stan and Butters from getting nuked!
Cartman,"Okay okay, but you you have to suck my balls first real quick."
Kyle,"No, I don't!"
Kyle,The decision was overturned.
Cartman,We had a DEAL KYLE!
Kyle,"Yeah, that leprechauns were real!"
Kyle,"And the government just declared they AREN'T technically real, so I was right!"
Kyle,It's over!
Kyle,I don't have to suck your balls!
Cartman,IT ISN'T OVER!!
Cartman,"It isn't over, Kyle!"
Cartman,I have NOT waited this long to see you weasel your way out of this bet!
Cartman,Go ahead and go.
Cartman,But I swear on my life!
Cartman,Before this day is over!
Cartman,"You, will, suck my balls!"
Cartman,I SWEAR IT!
Kyle,"Please, I need to talk to the people inside."
Kyle,They can't set off that nuke.
Kyle,"Uhn, you don't understand!"
Kyle,My friend is in Imaginationland!
Kyle,I can hear him in my head!
Stan,"No, no!"
Stan,I got sucked through Operation Imagination Doorway at the Pentagon.
Stan,"No, no, you don't understand."
Stan,There's a nuke.
Stan,The government is about to level this entire place.
Stan,So the terrorists can't ever use it against us again.
Stan,The Chosen One?
Cartman,What the hell do you think you're doing declaring leprechauns aren't real?
Cartman,You just can't declare that imaginary things aren't real!
Cartman,Who are you to say what's real?!
Cartman,Think about it: is blue real?
Cartman,Is love really real?
Cartman,"Look, maybe they're all part of the same thing."
Cartman,Santa and Jesus and hell and- leprechauns.
Cartman,"Maybe they're all real in the same wway, right?"
Cartman,No!
Cartman,"Leprechauns are real, Goddammit!"
Stan,Kyle?
Stan,"Kyle, what happened?"
Kyle,Nothing.
Stan,What?
Kyle,Nothing happened!
Kyle,There's nothing I can do!
Stan,"Dude, you can't let the government fire off that nuke!"
Kyle,They say they can do whatever they want because imaginary things aren't real!
Stan,Well you have to convince them they are real!
Kyle,"No way, dude, then I'd have to suck Cartman's balls"
Stan,"Whatever it takes, you have to do it, all right?!"
Stan,"Hang- hang on, Kyle, Jesus wants to talk to you."
Kyle,Huh?
Kyle,Oh boy...
Kyle,"Jesus, I can't do anything."
Kyle,I'm just a fourth grader going against the entire government.
Kyle,"Uh, hello?"
Kyle,Jesus?
Kyle,Aah.
Kyle,"Yeah, I guess."
Kyle,Hi Superman.
Kyle,I know.
Kyle,Oh God...
Cartman,"Goddamnit, you stupid assholes are going to ruin everything!"
Cartman,Kyle?
Kyle,"Listen, you don't have to do this!"
Kyle,Our imaginations aren't running wild anymore.
Kyle,You have to stop!
Kyle,Because I-  I... Um... because I think... they are real.
Kyle,It's all real.
Kyle,Think about it.
Kyle,Haven't Luke Skywalker and Santa Claus affected your lives more than most real people in this room?
Kyle,"I mean, whether Jesus is real or not, he... he's had a bigger impact on the world than any of us have."
Kyle,"And the same could be said of Bugs Bunny and, a-and Superman and Harry Potter."
Kyle,"They've changed my life, changed the way I act on the Earth."
Kyle,"Doesn't that make them kind of ""real."""
Kyle,"They might be imaginary, but, but they're more important than most of us here."
Kyle,And they're all gonna be around long after we're dead.
Kyle,"So in a way, those things are more realer than any of us."
Cartman,"So Kyle, imaginary things are real, huh?"
Cartman,Guess that means I did win the bet after all.
Cartman,"And you know what that means, Kyle."
Kyle,"Just let it go with your fucking balls, you fucking asshole!!"
Kyle,Your friends have been in danger and all you care about it this stupid bet!
Kyle,"Well I've decided, Cartman, even if we had a bet, that I am never sucking your balls,  you got that?!"
Kyle,"They can throw me in jail for the rest of my life, but I am  never going to suck your balls,  never!"
Kyle,So  there!
Stan,Kyle!
Stan,Dude!
Stan,"How did you do that, Butters?"
Cartman,"You know, I really have learned a lot, you guys."
Cartman,"What Kyle said about imaginary things being real and, Butters using his imagination?"
Cartman,It makes me think that... well maybe we all have the power to make things a reality.
Cartman,"Why look, it's me."
Cartman,And...  And there's Kyle.
Cartman,"And, what's Kyle about to do?"
Kyle,"Cartman, don't!"
Cartman,O-hoo Kyle!
Cartman,What are you doing to my balls?
Cartman,"OHO, look!"
Cartman,It's Kyle sucking my balls!
Stan,Dude.
Cartman,"O-hoo Kyle, you are gobbling those balls, aren't you?"
Cartman,"I told you you would suck my balls before this was over, didn't I, Kyle?"
Kyle,I'm not sucking your balls; that's imaginary!
Cartman,"No- Kyle, I believe you said that imaginary things are real."
Cartman,"Oh, look at you go, Kyle!"
Cartman,"Oho, you dirty girl!"
Cartman,You LOVE those balls.
Kyle,I am not sucking Cartman's balls!
Cartman,"Stan, you guys are good!"
Stan,"Dude, listen to that video crowd!"
Stan,They love us!
Kyle,"Yeah, dude."
Kyle,Its Guitar Hero.
Stan,Dad?
Stan,Dad!
Stan,What are you doing?
Cartman,"Uhh, that's gay, Mr. Marsh."
Stan,"Yeah, that's stupid, Dad."
Cartman,Real guitars are for old people.
Stan,"Alright, let's try to score 60,000 points this time."
Cartman,"Come on, guys, a hundred thousand points!"
Kyle,"Cartman, shut up."
Kyle,We're concentrating.
Stan,"Dude, we are total rock stars now!"
Stan,Hang on.
Stan,Yeah?
Stan,"Yeah, we did."
Stan,"Wow, really??"
Stan,Dude!
Stan,"Dude, Kyle, this guy wants to be our manager!"
Kyle,For reals?
Stan,That'd be awesome!
Stan,"Wow, this is a huge party."
Stan,"Dude, dude, that's Ron Zappolo from Channel 4 News!"
Kyle,Wow!
Kyle,"Oh, and look over there, that's that Jake Jabs guy from American Furniture Warehouse commercials."
Stan,Dude!
Stan,"Dude, that's Jay Cutler over there!"
Stan,Quarterback for the Denver Broncos!
Kyle,Oh my God!
Stan,Are you serious?
Stan,Nice to meet you!
Stan,"I mean, you kind of suck, but my dad says you might be good someday."
Kyle,Do we?
Kyle,He's a legend!
Kyle,"Dude, we've arrived."
Kyle,"We're super, awesome, and cool."
Stan,Yeah.
Stan,Life is finally going to not suck so hard for us.
Kyle,"D-ude, I totally miffed that middle part."
Kyle,Did you see that?
Stan,"Yeah dude, that's almost impossible."
Kyle,"Oh, okay."
Kyle,Cool.
Stan,Really?
Stan,That'd be sweet.
Stan,"What, you mean, Kyle?"
Stan,"But, Kyle and I always play together."
Stan,We both chipped in for the game system.
Stan,"Yeah, but can he play Buckethead on Expert Level?"
Stan,"Yeah, that's pretty good."
Stan,"But can you play ""John the Fisherman""?"
Kyle,"Hey dude, how'd it-?"
Stan,...Kyle.
Stan,"...I, I thought you were sick."
Kyle,Who is this?
Stan,"This is um, Thad Jarvis."
Kyle,"Ahem, wha?"
Kyle,"What's going on, Stan?"
Stan,"Kyle, I was gonna tell you later."
Stan,Mr. Kincaid thinks I should play with Thad for a while.
Kyle,But it's our game.
Kyle,We bought it together.
Stan,"I know, and, and I wanna be fair about it, so, I'll buy you out of your part."
Kyle,Buy me out?!
Kyle,What are you saying?!
Kyle,What makes you so high and mighty you can buy me out?
Stan,"Don't put this all on me, Kyle!"
Cartman,Oh my God this is so awesome.
Stan,"You were the one that's been blowing off playing after midnight, not playing 'cause you were sick,-"
Kyle,I have been sick!
Stan,"Look, the point is I'm never gonna break a million points playing with you!"
Stan,You know that's true!
Kyle,I guess I didn't realize it was just about the points.
Stan,"Let's just do this, all right?"
Stan,"It's okay, I guess."
Stan,But I need some game guides for it.
Stan,My manager and producer set up this live thing at the video arcade where I'm supposed to break a million in front of everybody and I'm I'm stressing out.
Stan,Huh?
Stan,Hero-Heroin Hero?
Stan,And there's no score?
Stan,No crowds?
Stan,"Dude, this is awesome."
Stan,Ugh.
Stan,Damint.
Stan,"Yeah, I practiced last night!"
Stan,Just shut up and play!
Stan,"No no, you know what?!"
Stan,Screw this!
Stan,I'm not playing this song!
Stan,Why did you pick this stupid song?
Stan,Yeah?
Stan,Well I changed my mind!
Stan,We're changing the song to Cheap Trick!
Stan,Yeah?
Stan,"Well you're not the leader, are you, Thad?!"
Stan,We play the music I wanna play!
Stan,"We're playing what I want, and I'll select a different song!"
Stan,You know what?
Stan,"That's great with me, Thad, 'cause I don't need you to break a million points!"
Stan,I never did!
Stan,"I just wanna play alone, alright?!"
Stan,I can't concentrate with all these assholes riding me all the time!
Stan,Man...
Stan,"Just, just a little."
Stan,"I know, but it mellos me out, okay?"
Stan,No problem.
Kyle,I'm not done yet.
Kyle,No.
Kyle,You're thinking of somebody else.
Kyle,"Look, just go ahead and play, alright?"
Kyle,Leave me alone.
Kyle,"Can I get a Fresca, please?"
Kyle,"Yeah well, I can't really afford to play anymore anyway."
Kyle,I'm about out of quarters.
Kyle,"I appreciate what you're trying to do, Mick, but I ain't a charity case yet."
Kyle,"Thanks, Mick."
Stan,Huh?
Stan,"What, uh?"
Stan,The dragon.
Stan,Where did it go?
Cartman,"All right, Stan, you've got it, man!"
Cartman,Come on guys.
Cartman,Let's get out of here.
Stan,"No, I didn't break a million points and unlock superstardom, all right?"
Stan,I'm done with that stupid game!
Stan,I just wanna find something else to play.
Stan,"I just want a nice, simple... driving game."
Stan,How about that?
Stan,"Kyle, could I just talk to you for like five minutes?"
Kyle,What are you doing here?
Stan,"Please, ih ih, it won't take long."
Kyle,Goddamnit.
Kyle,We're gonna take a short break.
Kyle,Be back in five.
Stan,I was listening to you for a while.
Stan,"Dude, you've gotten a lot better."
Kyle,"Oh, thank you!"
Kyle,I was so eagerly awaiting your approval of my abilities!
Stan,"Look, Kyle, the game is still set up at my house and, maybe we could go try playing it again over there."
Kyle,"Oh, so the gallant knight now comes to rescue me from the bowels of mediocrity!"
Kyle,"Oh, thank you, your royal lordship!"
Stan,That isn't it at all.
Kyle,"You don't get it, Stan!"
Kyle,I can play here all I want.
Kyle,I even get free Frescas.
Kyle,I don't need you anymore!
Stan,I know.
Stan,I need you.
Stan,"I thought I was having a great time because I was getting signed by managers and, going to big sex and coke parties, but, then I realized, I was having fun because I was doing all that...  ...with my best friend."
Kyle,"It was pretty fun, wasn't it?"
Stan,Yeah.
Kyle,"Look, I doubt we could break a million together anyway."
Stan,I don't care.
Stan,I'd just like to play with you again.
Stan,For the fun of it.
Kyle,I don't really see the fun in...  ...not trying to kick that game's ass once and for all!
Stan,"What, you mean it?"
Kyle,"I think we can do it, Stan."
Kyle,I've been close to a million a few times by myself.
Stan,"Then let's go, dude!"
Kyle,Oh wait.
Kyle,"Wait, I'm supposed to play here."
Kyle,"Hey, Mick, w-would you mind if I stepped out for a sec?"
Kyle,"Thanks, Mick!"
Stan,"All right, dude, let's do this."
Stan,What the hell?
Stan,Aw Goddammit!
Stan,"Dad, get off our Xbox!"
Stan,"No, me and Kyle are gonna play Guitar Hero!"
Stan,"You don't ever catch the dragon, Dad!"
Stan,"Mom, will you get Dad out of here?"
Cartman,"Stop cheating, Craig!"
Cartman,"'Cause you tricked me, you black asshole!"
Cartman,What?
Stan,That's it?
Kyle,Goddammit!
Kyle,God dammit!
Cartman,"Butters, you wanna play me next?"
Stan,"Dude, Butters, calm down."
Cartman,They can't do that.
Cartman,Who are they to judge us on how we look?
Stan,Yeah.
Stan,"You think they rate us just for looks, or they take personality into account?"
Kyle,"You guys, who cares if the girls make some stupid list?"
Kyle,Girls make dumb lists all the time.
Cartman,"Yeah, Kyle's right."
Cartman,Screw it; we have better things to worry about.
Cartman,"Oh please, I don't think so, Craig!"
Cartman,Chicks think I'm way hotter than you!
Cartman,"No, because people know I'm not fat!"
Cartman,I'm buff.
Cartman,They probably put you at the bottom of the list because you have fucked up teeth!
Cartman,Or Kenny cause' he's poor
Cartman,"Kenny, face it: Girls don't wanna Pop Tarts for dinner every night when they get married."
Kyle,"You guys, do you really care what a bunch of girls have to say about how you rank in looks?"
Cartman,"All right, Bebe, let's see the list."
Cartman,"You know what I'm talking about, bitch!"
Cartman,The list where you rate the looks of each boy in the class!
Cartman,"Craig is on the bottom, right?"
Cartman,Or is it Kenny 'cause you'd be eating Pop Tarts for dinner if you married him.
Cartman,Fuck you Bebe!
Cartman,Fuck you bitch!
Cartman,"Screw that, dude!"
Cartman,We're guys.
Cartman,We can outthink them.
Cartman,"All right, here's what we know."
Cartman,"That chick Nelly is the one who's in charge of holding the list, right."
Cartman,"She apparently keeps it in a purple Pee Chee folder, and we need a plan to get it from her."
Cartman,"This is what I call ""Operation: Cannot Possibly Fail"""
Cartman,"At 1. p.m. tomorrow, Nelly will have to walk from Home Ec to Social Studies."
Cartman,That's our best time to strike.
Cartman,"As she makes her way through Hallway 3, Craig will be ready with a distraction device here."
Cartman,"When she stops and turns to Craig in the hallway, Butters will run up and kick her in the balls."
Cartman,"Once Butters kicks her in the balls, she'll fall to the floor, dropping the Pee Chee, and Kenny will swoop in from Corridor 3-Delta, and grab the Pee Chee."
Cartman,Are we good?
Cartman,"Bail, bail!"
Cartman,"Okay, our mission failed, but we've learned a lot."
Cartman,Primarily that girls do not have balls.
Cartman,"Never mind, because we are going to Plan B, one that I call ""Operation: Cannot Possibly Fail A Second Time."""
Cartman,"When Nelly leaves the cafeteria for recess, Kenny will jump in front of her and spit on the ground."
Cartman,"Butters, we're done talkin' about girls' balls right now!"
Cartman,Pay attention!
Cartman,We got it!
Cartman,We got it!
Cartman,"Tape it to the wall, Kenny!"
Cartman,"Jason, watch the door!"
Stan,It's listed in order from cutest to ugliest.
